"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"Draeger's Markets","Ron","Piazza","342 1st St","Los Altos","CA","94022","A","Male","General Mgr","6509484344","83-477-1958","50 to 99","$20-50 Million","(650) 948-4425","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Draeger's Markets","Keith","Myers","222 E 4th Ave","San Mateo","CA","94401","A","Male","Director","6506853703","54-182-5113","100 to 249","$20-50 Million","(650) 685-3700","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Draeger's Markets Inc","Andy","Butera","291 Utah Ave","South San Francisco","CA","94080","A","Male","Vice President","6502446544","10-187-8528","100 to 249","","(650) 244-6500","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Draegers Supermarket Inc","Dave","Christine","1010 University Dr","Menlo Park","CA","94025","B+","Male","Director","","67-406-1882","10 to 19","$2.5-5 Million","(650) 328-1325","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Dream Dinners","","","14107 Winchester Blvd # T","Los Gatos","CA","95032","B+","","","4088841458","37-837-3161","5 to 9","$500,000-1 Million","(408) 871-6858","549910","Food Specialties-Retail","549910","Food Specialties-Retail","Verified"
"Drivers Market","Adam","Driver","200 Caledonia St","Sausalito","CA","94965","B+","Male","Owner","","42-542-9978","20 to 49","$5-10 Million","(415) 729-9582","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Dvw Commercial","Monty","Arslan","38507 Cherry St # H","Newark","CA","94560","B+","Male","President","5104949317","41-750-8784","5 to 9","$10-20 Million","(510) 494-9707","514939","Food Service-Distributors (Whls)","514939","Food Service-Distributors (Whls)","Verified"
"Easy Mart II","Chester","Tran","1460 Oakland Rd # D","San Jose","CA","95112","A","Male","Manager","4084530654","83-043-3959","5 to 9","$1-2.5 Million","(408) 453-0655","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"Eaton Corp","Dana","Burk","5735 W Las Positas Blvd # 100","Pleasanton","CA","94588","A+","Female","Manager","","65-764-3912","20 to 49","$10-20 Million","(925) 467-1674","369902","Electric Equipment-Manufacturers","369902","Electric Equipment-Manufacturers","Verified"
"Ebaldc","Joshua","Simon","1825 San Pablo Ave # 200","Oakland","CA","94612","C","Male","Manager","","74-141-0983","5 to 9","$1-2.5 Million","(510) 287-5353","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Edison Distribution Co","Tom","Faires","338 N Canal St","South San Francisco","CA","94080","A","Male","Purchase Exec","","89-465-3310","5 to 9","$10-20 Million","(650) 244-1450","514105","Grocers-Wholesale","514105","Grocers-Wholesale","Verified"
"El Rancho Market","Martin","Gonzalez","812 Willow Rd","Menlo Park","CA","94025","A","Male","President","6503219034","52-095-0817","20 to 49","$5-10 Million","(650) 321-4902","531104","Retail Shops","531104","Retail Shops","Verified"
"Encinal Market Meat Dept","Joe","Trimble","3211 Encinal Ave # C","Alameda","CA","94501","A","Male","Owner","5105221786","83-387-0629","10 to 19","$2.5-5 Million","(510) 522-4848","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Estudillo Produce & Deli","Yoou","Chang","1305 Macarthur Blvd","San Leandro","CA","94577","A","Male","Owner","","10-267-5915","10 to 19","$2.5-5 Million","(510) 352-1010","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Falletti Foods","James","Falletti","308 Broderick St","San Francisco","CA","94117","A","Male","President","","66-285-0338","20 to 49","$5-10 Million","(415) 626-4400","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Family Dollar","","","1902 N Texas St","Fairfield","CA","94533","B","","","","74-359-7935","10 to 19","$500,000-1 Million","(707) 366-6037","533101","Variety Stores","533101","Variety Stores","Verified"
"Family Dollar","","","1001 State Highway 12","Rio Vista","CA","94571","B+","","","","71-575-0209","5 to 9","$500,000-1 Million","(707) 660-6022","533101","Variety Stores","533101","Variety Stores","Verified"
"Farm Fresh To You","Ernest","Rodriguez","1 Ferry Building #9","San Francisco","CA","94111","B+","Male","Regional Mgr","","41-467-2353","10 to 19","$500,000-1 Million","(415) 834-9981","581208","Restaurants","581208","Restaurants","Verified"
"Fast & Easy Mart Admin Ofc","Ashraf","Ali","5000 E 2nd St # G","Benicia","CA","94510","A","Male","Owner","7077472957","96-109-0685","5 to 9","Less Than $500,000","(707) 747-2955","874201","Business Management Consultants","874201","Business Management Consultants","Verified"
"Fircrest Market","David","Hoffman","998 Gravenstein Ave","Sebastopol","CA","95472","A","Male","Owner","7078234902","85-858-7330","20 to 49","$10-20 Million","(707) 823-9171","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"First Korean Market","","","4625 Geary Blvd","San Francisco","CA","94118","B+","","","","40-472-7323","10 to 19","$2.5-5 Million","(415) 221-2565","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Flavours LLC","","","1030 E El Camino Real # 257","Sunnyvale","CA","94087","C","","","","72-293-5102","","$500,000-1 Million","Not Available","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food & Water Watch-Sf","Emily","Wurth","1814 Franklin St # 1100","Oakland","CA","94612","C+","Female","Director","","43-585-3701","1 to 4","$500,000-1 Million","(415) 293-9900","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Luxe LLC","","","1000 Brannan St # 211","San Francisco","CA","94103","C+","","","","43-284-5585","","$1-2.5 Million","Not Available","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Mania Inc","","","180 Sansome St # 2","San Francisco","CA","94104","C","","","","72-221-0100","","$500,000-1 Million","Not Available","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Food Mill","Kirk","Watkins","3033 Macarthur Blvd","Oakland","CA","94602","B+","Male","Owner","5104820344","00-628-3808","10 to 19","$5-10 Million","(510) 482-0315","204102","Milling (Mfrs)","204102","Milling (Mfrs)","Verified"
"Food Ranger Inc","","","490 Post St # 910","San Francisco","CA","94102","C","","","","72-438-8309","","$500,000-1 Million","Not Available","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Freddy","Hooker","4500 Lone Tree Way","Antioch","CA","94531","A","Male","Manager","9257069031","70-040-4747","50 to 99","$20-50 Million","(925) 756-0150","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Joseph","Christiansen","1751 Monument Blvd","Concord","CA","94520","A","Male","General Mgr","9253560308","70-040-4755","50 to 99","$20-50 Million","(925) 356-0324","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Danny","Mendoza","4505 Clayton Rd","Concord","CA","94521","A+","Male","Director","9258878071","94-773-5031","100 to 249","$20-50 Million","(925) 887-8000","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Sterling","Yost","1833 N Texas St","Fairfield","CA","94533","A","Male","General Mgr","7074340494","40-133-6683","50 to 99","$20-50 Million","(707) 434-9895","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Danny","Mendoza","1955 W Texas St","Fairfield","CA","94533","A","Male","Director","7074283397","42-309-2632","50 to 99","$20-50 Million","(707) 428-1585","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Daniel","Bilbay","39441 Fremont Blvd","Fremont","CA","94538","A+","Male","General Mgr","5106510419","10-264-0885","50 to 99","$20-50 Million","(510) 651-1920","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Michael","Flowers","27300 Hesperian Blvd","Hayward","CA","94545","A+","Male","General Mgr","5102931910","42-289-6471","50 to 99","$20-50 Million","(510) 293-1911","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Eric","Feagley","39966 Cedar Blvd","Newark","CA","94560","A+","Male","General Mgr","5104908186","59-425-8089","50 to 99","$10-20 Million","(510) 438-5968","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Zeb","Early","10950 International Blvd","Oakland","CA","94603","A+","Male","General Mgr","5105444070","24-073-9797","50 to 99","$20-50 Million","(510) 544-4000","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Frank","Silva","3000 E 9th St","Oakland","CA","94601","A+","Male","Director","5105320174","10-277-3652","100 to 249","$20-50 Million","(510) 437-8000","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Jeff","Earl","1370 Fitzgerald Dr","Pinole","CA","94564","A","Male","Other","5102438785","70-040-4754","50 to 99","$20-50 Million","(510) 243-8771","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","","","605 Rohnert Park Expy W","Rohnert Park","CA","94928","A+","","","7075843578","45-377-1198","50 to 99","$10-20 Million","(707) 584-1200","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","John","Louis","1539 Parkmoor Ave","San Jose","CA","95128","A","Male","General Mgr","4089955458","40-133-6682","50 to 99","$20-50 Million","(408) 287-5377","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Mike","Mcgrey","1972 Tully Rd","San Jose","CA","95122","A+","Male","General Mgr","4082704843","73-546-1355","100 to 249","$20-50 Million","(408) 270-2945","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","","","3002 Story Rd","San Jose","CA","95127","A","","","","71-884-6818","50 to 99","$20-50 Million","(408) 937-1324","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Fred","Darling","5510 Monterey Hwy","San Jose","CA","95138","A","Male","General Mgr","4086293681","70-040-4749","50 to 99","$20-50 Million","(408) 972-0681","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Jim","Stevens","699 Lewelling Blvd","San Leandro","CA","94579","A+","Male","General Mgr","5106140622","47-390-8309","50 to 99","$20-50 Million","(510) 614-7345","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Derrick","Amado","13220 San Pablo Ave","San Pablo","CA","94806","A+","Male","General Mgr","5102321274","55-062-2690","100 to 249","$20-50 Million","(510) 232-1150","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","","","2055 Sebastopol Rd","Santa Rosa","CA","95407","A+","","","7075232208","30-964-3211","100 to 249","$20-50 Million","(707) 578-8900","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Steve","Jacklin","30073 Industrial Pkwy","Union City","CA","94587","A","Male","General Mgr","5104753670","41-801-2259","50 to 99","$20-50 Million","(510) 475-3663","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foodmaxx","Derick","Amado","1740 Tuolumne St","Vallejo","CA","94589","A","Male","General Mgr","7076446092","70-040-4750","50 to 99","$20-50 Million","(707) 645-7132","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foods Co","","","10790 Macarthur Blvd","Oakland","CA","94605","A","","","","42-749-3852","100 to 249","$20-50 Million","(510) 924-3060","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foods Co","Vincent","Diaz","300 Atlantic Ave","Pittsburg","CA","94565","A+","Male","Manager","","18-029-6063","50 to 99","$10-20 Million","(925) 473-2130","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Foods Co","Roberto","Alaguiler","1401 Broadway St","Redwood City","CA","94063","A+","Male","General Mgr","","40-501-7862","50 to 99","$20-50 Million","(650) 366-5546","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
